Date : 2026-08-14 10:46:52
Directory : /Users/philliphanson/Documents/Design/web/hson/hson-live
Total : 570 files,  125085 codes, 9830 comments, 19357 blanks, all 154272 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/core/public-attrs.ts                                                   | TypeScript         |         89 |          1 |          9 |         99 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/core/stringify.ts                                                      | TypeScript         |         69 |          1 |         19 |         89 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/core/style.types.ts                                                    | TypeScript         |         65 |          2 |         15 |         82 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/core/types.ts                                                          | TypeScript         |         37 |          3 |         10 |         50 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/core/value-guards.ts                                                   | TypeScript         |         23 |          1 |          8 |         32 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/diagnostics/assert-invariants.test.ts                                  | TypeScript         |          4 |          1 |          2 |          7 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/diagnostics/circuit-engine.ts                                          | TypeScript         |        753 |          1 |         60 |        814 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/diagnostics/circuit-transform-boundary.ts                              | TypeScript         |         40 |          5 |          4 |         49 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/diagnostics/compare-nodes.test.ts                                      | TypeScript         |        195 |        107 |         47 |        349 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/diagnostics/diagnostics-helpers.ts                                     | TypeScript         |        156 |          4 |         15 |        175 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/diagnostics/index.ts                                                   | TypeScript         |        100 |          2 |          6 |        108 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/diagnostics/livetree-contracts.md                                      | Markdown           |          7 |          0 |          1 |          8 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/diagnostics/livetree-runtime.test.ts                                   | TypeScript         |        142 |          0 |         20 |        162 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/diagnostics/test-circuit.ts                                            | TypeScript         |        335 |         13 |         28 |        376 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/diagnostics/test-format.ts                                             | TypeScript         |        109 |          1 |         18 |        128 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/diagnostics/verify-universal-circuit.ts                                | TypeScript         |        244 |          8 |         19 |        271 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/hson.ts                                                                | TypeScript         |         70 |          9 |          6 |         85 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/index.ts                                                               | TypeScript         |        454 |          1 |          3 |        458 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/number.ts                                                              | TypeScript         |          8 |          1 |          1 |         10 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/safety/escape_angles.ts                                                | TypeScript         |         23 |         31 |          4 |         58 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/safety/safe-mount.safe.ts                                              | TypeScript         |         42 |         96 |         10 |        148 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/safety/sanitize-html.utils.ts                                          | TypeScript         |        165 |        207 |         24 |        396 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/safety/screen-url.ts                                                   | TypeScript         |         15 |         49 |          3 |         67 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/safety/unquoted-attrs.ts                                               | TypeScript         |         14 |         47 |          1 |         62 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/safety/wrap-cdata.ts                                                   | TypeScript         |         15 |         49 |          2 |         66 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/animate.types.ts                                                 | TypeScript         |         39 |          7 |         15 |         61 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/at-property.types.ts                                             | TypeScript         |         39 |         38 |         14 |         91 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/attrs.types.ts                                                   | TypeScript         |         24 |          1 |          5 |         30 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/bridge.types.ts                                                  | TypeScript         |         77 |          7 |         16 |        100 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/constructor.types.ts                                             | TypeScript         |         73 |        317 |         34 |        424 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/core.types.ts                                                    | TypeScript         |          7 |          1 |          2 |         10 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/css.types.ts                                                     | TypeScript         |        149 |        125 |         33 |        307 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/diagnostics.types.ts                                             | TypeScript         |         64 |         34 |         16 |        114 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/dom.types.ts                                                     | TypeScript         |         75 |         84 |         18 |        177 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/events.types.ts                                                  | TypeScript         |          6 |          1 |          2 |          9 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/globals.d.ts                                                     | TypeScript         |          3 |          5 |          2 |         10 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/index.ts                                                         | TypeScript         |        281 |          1 |          2 |        284 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/keyframes.types.ts                                               | TypeScript         |         37 |        131 |         26 |        194 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/lifecycle.types.ts                                               | TypeScript         |          7 |          4 |          3 |         14 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/listen.types.ts                                                  | TypeScript         |        131 |         89 |         37 |        257 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/livehost.types.ts                                                | TypeScript         |      1,374 |         39 |        210 |      1,623 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/liveinspect.types.ts                                             | TypeScript         |        187 |          2 |         19 |        208 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/livemap.types.ts                                                 | TypeScript         |      1,413 |        256 |        208 |      1,877 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/livetree-internals.types.ts                                      | TypeScript         |        139 |        240 |         56 |        435 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/livetree.types.ts                                                | TypeScript         |         90 |        102 |         24 |        216 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/node.types.ts                                                    | TypeScript         |          8 |          1 |          2 |         11 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/reflect.types.ts                                                 | TypeScript         |        112 |          6 |         15 |        133 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/svg.types.ts                                                     | TypeScript         |         45 |          4 |          7 |         56 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/types/token.types.ts                                                   | TypeScript         |          1 |          1 |          2 |          4 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/README.md                                                            | Markdown           |          9 |          0 |          3 |         12 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/canonical-hson-equality.acceptance.mts                               | TypeScript         |        249 |          0 |         27 |        276 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-authored-hson-corpus.acceptance.mts                        | TypeScript         |         81 |          1 |         11 |         93 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/CORPUSNOTES.md                                      | Markdown           |        187 |          0 |         76 |        263 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/authored-accepted.mts                               | TypeScript         |         72 |          0 |          6 |         78 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/authored-completeness-basis.mts                     | TypeScript         |        198 |          0 |         12 |        210 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/authored-families.mts                               | TypeScript         |        210 |          0 |         14 |        224 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/authored-name-delimiter-amendment.mts               | TypeScript         |         38 |          0 |          8 |         46 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/authored-rejected.mts                               | TypeScript         |         73 |          0 |          4 |         77 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/authored-source-verdict-processing.mts              | TypeScript         |        450 |          0 |         28 |        478 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/authored-source-verdicts.mts                        | TypeScript         |        602 |          8 |         46 |        656 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/corpus-integrity.mts                                | TypeScript         |         86 |          0 |          7 |         93 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/corpus-manifest.mts                                 | TypeScript         |         90 |          0 |          9 |         99 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/corpus-review.mts                                   | TypeScript         |        108 |          0 |          8 |        116 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/corpus-runner.mts                                   | TypeScript         |        349 |          0 |         25 |        374 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/corpus-types.mts                                    | TypeScript         |        108 |          0 |         15 |        123 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/diagnostic-and-references.mts                       | TypeScript         |         55 |          0 |          5 |         60 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/generate-authored-source-verdict-ledger.mts         | TypeScript         |         53 |          0 |          5 |         58 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/generate-authored-source-verdicts.mts               | TypeScript         |         15 |          0 |          2 |         17 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/generate-review-artifact.mts                        | TypeScript         |          3 |          0 |          2 |          5 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/graph-expectations.mts                              | TypeScript         |         50 |          0 |         13 |         63 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/graph-transports.mts                                | TypeScript         |         60 |          0 |          6 |         66 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/html-transports.mts                                 | TypeScript         |        117 |          0 |         12 |        129 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/json-transports.mts                                 | TypeScript         |         75 |          0 |          8 |         83 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/validate-authored-source-verdict-ledger.mts         | TypeScript         |         86 |          0 |         14 |        100 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/certified-corpus/validate-authored-source-verdicts.mts               | TypeScript         |         37 |          0 |          5 |         42 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/circuit-failure-control.acceptance.mts                               | TypeScript         |        231 |          0 |         31 |        262 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/circuit-legacy-wrapper.acceptance.mts                                | TypeScript         |        175 |          0 |         31 |        206 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/circuit-semantic-engine.acceptance.mts                               | TypeScript         |        215 |          0 |         33 |        248 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/circuit-test-helpers.mts                                             | TypeScript         |        108 |          0 |          9 |        117 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/diagnostics-inventory.acceptance.mts                                 | TypeScript         |        232 |          0 |         13 |        245 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/document-same-quid-replacement-continuity.acceptance.mts             | TypeScript         |        433 |          1 |         32 |        466 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/livehost-node.ts                                         | TypeScript         |         11 |          0 |          3 |         14 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/livehost-worker.ts                                       | TypeScript         |         19 |          0 |          3 |         22 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/livemap-worker.ts                                        | TypeScript         |         93 |         12 |          7 |        112 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/livetree-browser.ts                                      | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/public-entrypoints.ts                                    | TypeScript         |        790 |         80 |         34 |        904 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/root-compatibility.ts                                    | TypeScript         |        507 |          0 |          3 |        510 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/transform-worker.ts                                      | TypeScript         |         26 |          0 |          2 |         28 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/tsconfig.livehost-node.json                              | JSON               |         13 |          0 |          1 |         14 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/tsconfig.livehost-worker.json                            | JSON               |         13 |          0 |          1 |         14 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/tsconfig.livemap-worker.json                             | JSON               |         13 |          0 |          1 |         14 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/tsconfig.livetree-browser.json                           | JSON               |         13 |          0 |          1 |         14 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/tsconfig.public.json                                     | JSON               |         13 |          0 |          1 |         14 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/entrypoints/tsconfig.transform-worker.json                           | JSON               |         13 |          0 |          1 |         14 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/fixtures/structural-json-order-fixtures.mts                          | TypeScript         |        197 |          0 |         16 |        213 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/helpers/fake-document.mts                                            | TypeScript         |         92 |          0 |         17 |        109 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/helpers/livemap-identity-internal.mts                                | TypeScript         |         22 |          2 |          3 |         27 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/helpers/reflect-unit6.mts                                            | TypeScript         |         44 |          0 |          8 |         52 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-array-index.acceptance.mts                                      | TypeScript         |        370 |          0 |         29 |        399 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-attribute-transport.acceptance.mts                              | TypeScript         |        423 |          0 |         40 |        463 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-node-quid-egress.acceptance.mts                                 | TypeScript         |        278 |          1 |         28 |        307 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-node-quid-ingress.acceptance.mts                                | TypeScript         |      1,041 |          3 |         81 |      1,125 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-node-quid.acceptance.mts                                        | TypeScript         |        385 |          1 |         38 |        424 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-number.acceptance.mts                                           | TypeScript         |        298 |          1 |         33 |        332 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-quoted-name-acceptance.acceptance.mts                           | TypeScript         |        139 |          1 |         32 |        172 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-quoted-name-rejection.acceptance.mts                            | TypeScript         |        113 |          1 |         31 |        145 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-root-boundary.acceptance.mts                                    | TypeScript         |        405 |          0 |         95 |        500 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-serializer.acceptance.mts                                       | TypeScript         |      1,239 |          0 |        120 |      1,359 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-string.types.ts                                                 | TypeScript         |         93 |          8 |         11 |        112 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-structural-mode.acceptance.mts                                  | TypeScript         |        247 |          0 |         58 |        305 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-tagged-template.acceptance.mts                                  | TypeScript         |        136 |          1 |         23 |        160 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/hson-tokenizer.acceptance.mts                                        | TypeScript         |        976 |          0 |         81 |      1,057 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/json-ingress.acceptance.mts                                          | TypeScript         |        547 |          1 |         47 |        595 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/launcher-completion.d.mts                                            | TypeScript         |          8 |          0 |          2 |         10 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/launcher-completion.mjs                                              | JavaScript         |         23 |          0 |          2 |         25 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livehost-authority-lifecycle.acceptance.mts                          | TypeScript         |        338 |          1 |         26 |        365 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livehost-bootstrap.acceptance.mts                                    | TypeScript         |        600 |          1 |         41 |        642 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livehost-capture-identity-closure.acceptance.mts                     | TypeScript         |        223 |          1 |         29 |        253 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livehost-document-request-compatibility.acceptance.mts               | TypeScript         |        404 |          1 |         40 |        445 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livehost-document.types.ts                                           | TypeScript         |        288 |         28 |         18 |        334 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livehost-graph-content-codec.acceptance.mts                          | TypeScript         |         96 |          0 |          9 |        105 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livehost-node-hosting.acceptance.mts                                 | TypeScript         |        971 |          1 |         67 |      1,039 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-canonical-ownership.acceptance.mts                           | TypeScript         |        120 |          1 |         18 |        139 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-capture-categories.acceptance.mts                            | TypeScript         |        153 |          1 |         29 |        183 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-capture-provenance.acceptance.mts                            | TypeScript         |        212 |          1 |         32 |        245 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-carrier-planning.acceptance.mts                              | TypeScript         |        266 |          1 |         35 |        302 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-deterministic-admission-schema-operators.acceptance.mts      | TypeScript         |         34 |          1 |          5 |         40 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-deterministic-mutation-operators.acceptance.mts              | TypeScript         |         34 |          1 |          5 |         40 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-deterministic-transport-propagation-operators.acceptance.mts | TypeScript         |         34 |          1 |          5 |         40 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-atomic-reconciliation.acceptance.mts                | TypeScript         |        235 |          1 |         34 |        270 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-attrs-read.acceptance.mts                           | TypeScript         |        195 |          0 |         20 |        215 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-attrs-schema.acceptance.mts                         | TypeScript         |        220 |          1 |         23 |        244 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-attrs-schema.types.ts                               | TypeScript         |        115 |         22 |         13 |        150 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-flags.acceptance.mts                                | TypeScript         |        151 |          1 |         16 |        168 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-id-discovery.acceptance.mts                         | TypeScript         |        165 |          1 |         31 |        197 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-id-public.acceptance.mts                            | TypeScript         |        168 |          1 |         31 |        200 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-identity-acquisition.acceptance.mts                 | TypeScript         |        214 |          1 |         28 |        243 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-identity-compatibility.acceptance.mts               | TypeScript         |        229 |          1 |         29 |        259 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-identity-handle.acceptance.mts                      | TypeScript         |        206 |          1 |         33 |        240 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-identity-overlay-construction.acceptance.mts        | TypeScript         |        155 |          1 |         29 |        185 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-identity-overlay-lifecycle.acceptance.mts           | TypeScript         |        226 |          1 |         29 |        256 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-identity-overlay-lookup.acceptance.mts              | TypeScript         |        162 |          1 |         29 |        192 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-install.acceptance.mts                              | TypeScript         |        265 |          0 |         29 |        294 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-location-attrs.acceptance.mts                       | TypeScript         |         53 |          1 |          4 |         58 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-location-content.acceptance.mts                     | TypeScript         |         41 |          1 |          4 |         46 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-location-mutation.acceptance.mts                    | TypeScript         |        200 |          1 |         32 |        233 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-location.acceptance.mts                             | TypeScript         |        281 |          1 |         49 |        331 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-logical-traversal.acceptance.mts                    | TypeScript         |        527 |          3 |         69 |        599 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-mutation-inputs.types.ts                            | TypeScript         |         89 |         14 |         20 |        123 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-mutation.acceptance.mts                             | TypeScript         |        542 |          0 |         56 |        598 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-operation-identity-effects.acceptance.mts           | TypeScript         |        193 |          1 |         30 |        224 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-path-contract.acceptance.mts                        | TypeScript         |        188 |          1 |         31 |        220 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-proxy-typing.types.ts                               | TypeScript         |        103 |         10 |         18 |        131 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-proxy.acceptance.mts                                | TypeScript         |        169 |          1 |         32 |        202 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-relative-paths.types.ts                             | TypeScript         |        102 |         12 |         19 |        133 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-replay.acceptance.mts                               | TypeScript         |        347 |          0 |         32 |        379 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-request-lowering.acceptance.mts                     | TypeScript         |        236 |          1 |         31 |        268 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-schema-construction.acceptance.mts                  | TypeScript         |        233 |          1 |         41 |        275 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-schema-enforcement.acceptance.mts                   | TypeScript         |        172 |          1 |          6 |        179 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-schema.types.ts                                     | TypeScript         |        184 |         12 |         23 |        219 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-staged-reconciliation.acceptance.mts                | TypeScript         |        247 |          1 |         32 |        280 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-staged-request-lowering.acceptance.mts              | TypeScript         |        274 |          1 |         36 |        311 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-staging.acceptance.mts                              | TypeScript         |        221 |          1 |         31 |        253 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-target-boundary.acceptance.mts                      | TypeScript         |        229 |          1 |         31 |        261 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document-typed-paths.types.ts                                | TypeScript         |        112 |         11 |         23 |        146 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-document.acceptance.mts                                      | TypeScript         |        311 |          0 |         31 |        342 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-exact-propagation.acceptance.mts                             | TypeScript         |        256 |          1 |         32 |        289 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-exact-route-closure.acceptance.mts                           | TypeScript         |        160 |          1 |          5 |        166 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-exact-transport-rejection.acceptance.mts                     | TypeScript         |        155 |          1 |         23 |        179 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-exact-transport.acceptance.mts                               | TypeScript         |        245 |          1 |         36 |        282 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-identity-aba-prevention.acceptance.mts                       | TypeScript         |         40 |          1 |          4 |         45 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-identity-replay-provenance.acceptance.mts                    | TypeScript         |         51 |          1 |          4 |         56 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-issued-quid-ledger.acceptance.mts                            | TypeScript         |         43 |          1 |          4 |         48 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-linked-identity-atomicity.acceptance.mts                     | TypeScript         |        241 |          2 |         25 |        268 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-linked-identity-closure.acceptance.mts                       | TypeScript         |        243 |          1 |         27 |        271 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-linked-identity-registration.acceptance.mts                  | TypeScript         |        194 |          1 |         25 |        220 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-operators/admission-schema-operators.mts                     | TypeScript         |         45 |          0 |          2 |         47 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-operators/all-operators.mts                                  | TypeScript         |          9 |          0 |          3 |         12 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-operators/generate-review-artifact.mts                       | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-operators/mutation-operators.mts                             | TypeScript         |         30 |          0 |          4 |         34 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-operators/operator-catalog.mts                               | TypeScript         |        219 |          0 |         21 |        240 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-operators/transport-propagation-operators.mts                | TypeScript         |         85 |          0 |          8 |         93 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-path-handle.acceptance.mts                                   | TypeScript         |        578 |          1 |         87 |        666 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-projected-array-move-intent.acceptance.mts                   | TypeScript         |        136 |          1 |         28 |        165 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-projected-identity-acquisition.acceptance.mts                | TypeScript         |         53 |          1 |          4 |         58 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/tests/livemap-projected-identity-closure.acceptance.mts                    | TypeScript         |         64 |          1 |          4 |         69 |
